client	module	method	path	full_path	file	line
xfq-miniapp/mp-native	appt	POST	/appt/cancelAppt	/api/appt/cancelAppt	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/appt.js	41
xfq-miniapp/mp-native	appt	POST	/appt/createAppt	/api/appt/createAppt	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/appt.js	14
xfq-miniapp/mp-native	appt	GET	/appt/getDatetime	/api/appt/getDatetime	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/appt.js	5
xfq-miniapp/mp-native	appt	GET	/appt/getDetail	/api/appt/getDetail	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/appt.js	32
xfq-miniapp/mp-native	appt	GET	/appt/getList	/api/appt/getList	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/appt.js	23
xfq-miniapp/mp-native	appt	POST	/appt/writeOff	/api/appt/writeOff	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/appt.js	50
xfq-miniapp/mp-native	coupon	POST	/coupon/applicableto	/api/coupon/applicableto	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/coupon.js	72
xfq-miniapp/mp-native	coupon	POST	/coupon/applicabletoV2	/api/coupon/applicabletoV2	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/coupon.js	56
xfq-miniapp/mp-native	coupon	POST	/coupon/detail	/api/coupon/detail	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/coupon.js	29
xfq-miniapp/mp-native	coupon	POST	/coupon/encryptAES	/api/coupon/encryptAES	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/coupon.js	90
xfq-miniapp/mp-native	coupon	GET	/coupon/getUserCouponRecordList	/api/coupon/getUserCouponRecordList	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/coupon.js	38
xfq-miniapp/mp-native	coupon	POST	/coupon/idtocoupon	/api/coupon/idtocoupon	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/coupon.js	81
xfq-miniapp/mp-native	coupon	POST	/coupon/index	/api/coupon/index	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/coupon.js	8
xfq-miniapp/mp-native	coupon	POST	/coupon/receive	/api/coupon/receive	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/coupon.js	47
xfq-miniapp/mp-native	coupon	POST	/coupon/tempApi	/api/coupon/tempApi	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/coupon.js	20
xfq-miniapp/mp-native	coupon	POST	/coupon/writeoff	/api/coupon/writeoff	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/coupon.js	99
xfq-miniapp/mp-native	coupon	POST	/coupon/writeoffdetail	/api/coupon/writeoffdetail	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/coupon.js	117
xfq-miniapp/mp-native	coupon	POST	/coupon/writeofflog	/api/coupon/writeofflog	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/coupon.js	108
xfq-miniapp/mp-native	index	POST	/index/getuserphonenumber	/api/index/getuserphonenumber	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/index.js	14
xfq-miniapp/mp-native	content	GET	/index/note_detail	/api/index/note_detail	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/content.js	14
xfq-miniapp/mp-native	content	POST	/index/note_list	/api/index/note_list	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/content.js	5
xfq-miniapp/mp-native	system	POST	/index/system	/api/index/system	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/system.js	33
xfq-miniapp/mp-native	index	POST	/index/transform	/api/index/transform	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/index.js	5
xfq-miniapp/mp-native	pay	POST	/pay/refund	/api/pay/refund	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/pay.js	14
xfq-miniapp/mp-native	pay	POST	/pay/submit	/api/pay/submit	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/pay.js	5
xfq-miniapp/mp-native	merchant	POST	/seller/cate	/api/seller/cate	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/merchant.js	4
xfq-miniapp/mp-native	merchant	POST	/seller/detail	/api/seller/detail	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/merchant.js	33
xfq-miniapp/mp-native	merchant	POST	/seller/list	/api/seller/list	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/merchant.js	9
xfq-miniapp/mp-native	merchant	POST	/seller/search	/api/seller/search	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/merchant.js	24
xfq-miniapp/mp-native	tickets	POST	/ticket/cancelRefund	/api/ticket/cancelRefund	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/tickets.js	67
xfq-miniapp/mp-native	tickets	GET	/ticket/getCommentList	/api/ticket/getCommentList	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/tickets.js	13
xfq-miniapp/mp-native	tickets	GET	/ticket/getOrderDetail	/api/ticket/getOrderDetail	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/tickets.js	49
xfq-miniapp/mp-native	tickets	GET	/ticket/getOrderDetailDetail	/api/ticket/getOrderDetailDetail	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/tickets.js	121
xfq-miniapp/mp-native	tickets	GET	/ticket/getOrderList	/api/ticket/getOrderList	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/tickets.js	40
xfq-miniapp/mp-native	tickets	GET	/ticket/getRefundLogDetail	/api/ticket/getRefundLogDetail	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/tickets.js	103
xfq-miniapp/mp-native	tickets	GET	/ticket/getRefundLogList	/api/ticket/getRefundLogList	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/tickets.js	94
xfq-miniapp/mp-native	tickets	GET	/ticket/getScenicList	/api/ticket/getScenicList	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/tickets.js	4
xfq-miniapp/mp-native	tickets	GET	/ticket/getTicketList	/api/ticket/getTicketList	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/tickets.js	8
xfq-miniapp/mp-native	tickets	GET	/ticket/getTicketPirce	/api/ticket/getTicketPirce	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/tickets.js	22
xfq-miniapp/mp-native	tickets	POST	/ticket/orderpay	/api/ticket/orderpay	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/tickets.js	58
xfq-miniapp/mp-native	tickets	POST	/ticket/pay	/api/ticket/pay	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/tickets.js	31
xfq-miniapp/mp-native	tickets	POST	/ticket/refund	/api/ticket/refund	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/tickets.js	76
xfq-miniapp/mp-native	tickets	POST	/ticket/single_refund	/api/ticket/single_refund	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/tickets.js	85
xfq-miniapp/mp-native	tickets	POST	/ticket/writeComment	/api/ticket/writeComment	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/tickets.js	131
xfq-miniapp/mp-native	tickets	POST	/ticket/writeOff	/api/ticket/writeOff	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/tickets.js	112
xfq-miniapp/mp-native	user	POST	/user/auth_identity	/api/user/auth_identity	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/user.js	197
xfq-miniapp/mp-native	user	POST	/user/auth_info	/api/user/auth_info	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/user.js	23
xfq-miniapp/mp-native	user	POST	/user/clock	/api/user/clock	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/user.js	143
xfq-miniapp/mp-native	user	POST	/user/clock_list	/api/user/clock_list	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/user.js	134
xfq-miniapp/mp-native	user	POST	/user/collection	/api/user/collection	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/user.js	107
xfq-miniapp/mp-native	user	POST	/user/collection_action	/api/user/collection_action	/home/yuan/proj/xiaofeiquan/xfq-miniapp/mp-native/miniprogram/services/api/user.js	116
