group	tag	miniapp_used	method	path	path_html	app	controller	action	auth	auth_required	contract	desc	file	line
A0-external-callbacks	OTA_MT	no	UNKNOWN	/meituan/index/captcha	/meituan/index/captcha.html	meituan	Index	captcha	meituan(BA-sign)	yes	docs/rewrite/contracts/p0/meituan/index/captcha.md		app/meituan/controller/Index.php	487
A0-external-callbacks	OTA_MT	no	UNKNOWN	/meituan/index/change	/meituan/index/change.html	meituan	Index	change	meituan(BA-sign)	yes	docs/rewrite/contracts/p0/meituan/index/change.md		app/meituan/controller/Index.php	52
A0-external-callbacks	OTA_MT	no	UNKNOWN	/meituan/index/demo	/meituan/index/demo.html	meituan	Index	demo	meituan(BA-sign)	yes	docs/rewrite/contracts/p0/meituan/index/demo.md		app/meituan/controller/Index.php	60
A0-external-callbacks	OTA_MT	no	POST	/meituan/index/system	/meituan/index/system.html	meituan	Index	system	meituan(BA-sign)	yes	docs/rewrite/contracts/p0/meituan/index/system.md	返回系统信息	app/meituan/controller/Index.php	459
A0-external-callbacks	OTA_MT	no	POST	/meituan/index/winlogin	/meituan/index/winlogin.html	meituan	Index	winlogin	meituan(BA-sign)	yes	docs/rewrite/contracts/p0/meituan/index/winlogin.md	系统登录接口，返回 token 用于操作需验证身份的接口	app/meituan/controller/Index.php	497
A0-external-callbacks	OTA_MT	no	UNKNOWN	/meituan/ticket/getMt	/meituan/ticket/getMt.html	meituan	Ticket	getMt	meituan(BA-sign)	no	docs/rewrite/contracts/p0/meituan/ticket/getmt.md		app/meituan/controller/Ticket.php	43
A0-external-callbacks	OTA_MT	no	POST	/meituan/ticket/pay	/meituan/ticket/pay.html	meituan	Ticket	pay	meituan(BA-sign)	yes	docs/rewrite/contracts/p0/meituan/ticket/pay.md	提交订单	app/meituan/controller/Ticket.php	37
A0-external-callbacks	OTA_MT	no	UNKNOWN	/meituan/upload/index	/meituan/upload/index.html	meituan	Upload	index	meituan(BA-sign)	yes	docs/rewrite/contracts/p0/meituan/upload/index.md		app/meituan/controller/Upload.php	45
A0-external-callbacks	OTA_MT	no	UNKNOWN	/meituan/webupload/index	/meituan/webupload/index.html	meituan	Webupload	index	meituan(BA-sign)	no	docs/rewrite/contracts/p0/meituan/webupload/index.md		app/meituan/controller/Webupload.php	45
A0-external-callbacks	OTA_XC	no	UNKNOWN	/xc/index/captcha	/xc/index/captcha.html	xc	Index	captcha	xc(AES+md5-sign)	yes	docs/rewrite/contracts/p0/xc/index/captcha.md		app/xc/controller/Index.php	92
A0-external-callbacks	OTA_XC	no	UNKNOWN	/xc/index/change	/xc/index/change.html	xc	Index	change	xc(AES+md5-sign)	no	docs/rewrite/contracts/p0/xc/index/change.md		app/xc/controller/Index.php	51
A0-external-callbacks	OTA_XC	no	POST	/xc/index/system	/xc/index/system.html	xc	Index	system	xc(AES+md5-sign)	yes	docs/rewrite/contracts/p0/xc/index/system.md	返回系统信息	app/xc/controller/Index.php	64
A0-external-callbacks	OTA_XC	no	POST	/xc/index/winlogin	/xc/index/winlogin.html	xc	Index	winlogin	xc(AES+md5-sign)	yes	docs/rewrite/contracts/p0/xc/index/winlogin.md	系统登录接口，返回 token 用于操作需验证身份的接口	app/xc/controller/Index.php	102
A0-external-callbacks	OTA_XC	no	UNKNOWN	/xc/order/CancelOrder	/xc/order/CancelOrder.html	xc	Order	CancelOrder	xc(AES+md5-sign)	yes	docs/rewrite/contracts/p0/xc/order/cancelorder.md		app/xc/controller/Order.php	481
