method	path	path_html	app	controller	action	auth	auth_required	desc	file	line
UNKNOWN	/api/appt/cancelAppt	/api/appt/cancelAppt.html	api	Appt	cancelAppt	api-token(Userid)	yes		app/api/controller/Appt.php	349
UNKNOWN	/api/appt/createAppt	/api/appt/createAppt.html	api	Appt	createAppt	api-token(Userid)	yes		app/api/controller/Appt.php	87
UNKNOWN	/api/appt/getDatetime	/api/appt/getDatetime.html	api	Appt	getDatetime	api-token(Userid)	no		app/api/controller/Appt.php	45
UNKNOWN	/api/appt/getDetail	/api/appt/getDetail.html	api	Appt	getDetail	api-token(Userid)	yes		app/api/controller/Appt.php	235
UNKNOWN	/api/appt/getList	/api/appt/getList.html	api	Appt	getList	api-token(Userid)	yes		app/api/controller/Appt.php	213
UNKNOWN	/api/appt/writeOff	/api/appt/writeOff.html	api	Appt	writeOff	api-token(Userid)	yes		app/api/controller/Appt.php	249
UNKNOWN	/api/coupon/applicableto	/api/coupon/applicableto.html	api	Coupon	applicableto	api-token(Userid)	no		app/api/controller/Coupon.php	772
UNKNOWN	/api/coupon/applicabletoV2	/api/coupon/applicabletoV2.html	api	Coupon	applicabletoV2	api-token(Userid)	no		app/api/controller/Coupon.php	709
UNKNOWN	/api/coupon/couponissueuser	/api/coupon/couponissueuser.html	api	Coupon	couponissueuser	api-token(Userid)	yes		app/api/controller/Coupon.php	1300
UNKNOWN	/api/coupon/detail	/api/coupon/detail.html	api	Coupon	detail	api-token(Userid)	no		app/api/controller/Coupon.php	593
UNKNOWN	/api/coupon/encryptAES	/api/coupon/encryptAES.html	api	Coupon	encryptAES	api-token(Userid)	yes		app/api/controller/Coupon.php	1378
UNKNOWN	/api/coupon/getIssueCouponList	/api/coupon/getIssueCouponList.html	api	Coupon	getIssueCouponList	api-token(Userid)	yes		app/api/controller/Coupon.php	141
UNKNOWN	/api/coupon/getUserCouponRecordList	/api/coupon/getUserCouponRecordList.html	api	Coupon	getUserCouponRecordList	api-token(Userid)	yes		app/api/controller/Coupon.php	1489
UNKNOWN	/api/coupon/idtocoupon	/api/coupon/idtocoupon.html	api	Coupon	idtocoupon	api-token(Userid)	yes		app/api/controller/Coupon.php	1337
UNKNOWN	/api/coupon/index	/api/coupon/index.html	api	Coupon	index	api-token(Userid)	no		app/api/controller/Coupon.php	44
UNKNOWN	/api/coupon/line_detail	/api/coupon/line_detail.html	api	Coupon	line_detail	api-token(Userid)	no		app/api/controller/Coupon.php	694
UNKNOWN	/api/coupon/line_list	/api/coupon/line_list.html	api	Coupon	line_list	api-token(Userid)	no		app/api/controller/Coupon.php	641
UNKNOWN	/api/coupon/list	/api/coupon/list.html	api	Coupon	list	api-token(Userid)	no		app/api/controller/Coupon.php	843
UNKNOWN	/api/coupon/receive	/api/coupon/receive.html	api	Coupon	receive	api-token(Userid)	yes		app/api/controller/Coupon.php	278
