phase	group	tag	miniapp_used	method	path	path_html	python_status	route_methods	method_compatible	golden_p0	golden_p0_success	auth_required	auth	contract	app	controller	action	desc	file	line
M1	A0-external-callbacks	PAY_NOTIFY	no	UNKNOWN	/api/notify/create_file	/api/notify/create_file.html	implemented	GET,POST	unknown	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/notify/create_file.md	api	Notify	create_file		app/api/controller/Notify.php	173
M1	A0-external-callbacks	PAY_NOTIFY	no	UNKNOWN	/api/notify/pay_async_notice	/api/notify/pay_async_notice.html	implemented	POST	unknown	yes	no	no	api-token(Userid)	docs/rewrite/contracts/p0/api/notify/pay_async_notice.md	api	Notify	pay_async_notice		app/api/controller/Notify.php	40
M1	A0-external-callbacks	PAY_NOTIFY	no	UNKNOWN	/api/notify/refund	/api/notify/refund.html	implemented	POST	unknown	yes	no	no	api-token(Userid)	docs/rewrite/contracts/p0/api/notify/refund.md	api	Notify	refund		app/api/controller/Notify.php	102
M1	A0-external-callbacks	OTA_MT	no	UNKNOWN	/meituan/index/captcha	/meituan/index/captcha.html	implemented	GET,POST	unknown	yes	no	yes	meituan(BA-sign)	docs/rewrite/contracts/p0/meituan/index/captcha.md	meituan	Index	captcha		app/meituan/controller/Index.php	487
M1	A0-external-callbacks	OTA_MT	no	UNKNOWN	/meituan/index/change	/meituan/index/change.html	implemented	GET,POST	unknown	yes	no	yes	meituan(BA-sign)	docs/rewrite/contracts/p0/meituan/index/change.md	meituan	Index	change		app/meituan/controller/Index.php	52
M1	A0-external-callbacks	OTA_MT	no	UNKNOWN	/meituan/index/demo	/meituan/index/demo.html	implemented	GET,POST	unknown	yes	no	yes	meituan(BA-sign)	docs/rewrite/contracts/p0/meituan/index/demo.md	meituan	Index	demo		app/meituan/controller/Index.php	60
M1	A0-external-callbacks	OTA_MT	no	POST	/meituan/index/system	/meituan/index/system.html	implemented	POST	yes	yes	yes	yes	meituan(BA-sign)	docs/rewrite/contracts/p0/meituan/index/system.md	meituan	Index	system	返回系统信息	app/meituan/controller/Index.php	459
M1	A0-external-callbacks	OTA_MT	no	POST	/meituan/index/winlogin	/meituan/index/winlogin.html	implemented	POST	yes	yes	no	yes	meituan(BA-sign)	docs/rewrite/contracts/p0/meituan/index/winlogin.md	meituan	Index	winlogin	系统登录接口，返回 token 用于操作需验证身份的接口	app/meituan/controller/Index.php	497
M1	A0-external-callbacks	OTA_MT	no	UNKNOWN	/meituan/ticket/getMt	/meituan/ticket/getMt.html	implemented	GET,POST	unknown	yes	no	no	meituan(BA-sign)	docs/rewrite/contracts/p0/meituan/ticket/getmt.md	meituan	Ticket	getMt		app/meituan/controller/Ticket.php	43
M1	A0-external-callbacks	OTA_MT	no	POST	/meituan/ticket/pay	/meituan/ticket/pay.html	implemented	POST	yes	yes	no	yes	meituan(BA-sign)	docs/rewrite/contracts/p0/meituan/ticket/pay.md	meituan	Ticket	pay	提交订单	app/meituan/controller/Ticket.php	37
